customer_id,age,average_purchase,loyalty_score,preferred_color,membership_level,is_active,has_subscription,marketing_consent,last_feedback,registration_date,membership_duration_days,tags
1,69,93.58,1.9,Green,Bronze,True,1,Yes,Customer feedback 0: Need improvement,2024-05-10 09:44:26.081044,504.3,"{'interests': ['Technology', 'Food'], 'source': np.str_('Store'), 'priority': np.str_('Medium')}"
2,32,125.61,6.1,Blue,Platinum,False,0,No,Customer feedback 1: Great service!,2025-03-23 09:44:26.081059,865.6,"{'interests': ['Technology', 'Fashion'], 'source': np.str_('Mobile'), 'priority': np.str_('Medium')}"
3,89,59.44,4.4,Red,Bronze,True,0,No,Customer feedback 2: Great service!,2025-02-28 09:44:26.081063,241.3,"{'interests': ['Food', 'Sports'], 'source': np.str_('Mobile'), 'priority': np.str_('Medium')}"
4,78,108.52,5.8,Black,Silver,True,0,Yes,Customer feedback 3: Excellent products,2024-01-13 09:44:26.081065,78.5,"{'interests': ['Fashion', 'Fashion'], 'source': np.str_('Mobile'), 'priority': np.str_('High')}"
5,38,100.64,7.4,Yellow,Gold,True,0,Yes,Customer feedback 4: Excellent products,2024-01-08 09:44:26.081068,356.4,"{'interests': ['Sports', 'Food'], 'source': np.str_('Store'), 'priority': np.str_('Medium')}"
6,41,64.73,8.1,Black,Platinum,False,1,No,Customer feedback 5: Need improvement,2023-03-26 09:44:26.081070,747.7,"{'interests': ['Technology', 'Sports'], 'source': np.str_('Web'), 'priority': np.str_('High')}"
7,20,57.29,8.4,Green,Silver,False,0,No,Customer feedback 6: Could be better,2024-08-27 09:44:26.081073,550.7,"{'interests': ['Food', 'Fashion'], 'source': np.str_('Mobile'), 'priority': np.str_('Low')}"
8,39,125.26,2.5,Yellow,Silver,True,0,Yes,Customer feedback 7: Great service!,2024-01-19 09:44:26.081075,816.8,"{'interests': ['Food', 'Food'], 'source': np.str_('Mobile'), 'priority': np.str_('Low')}"
9,70,124.07,0.3,Yellow,Platinum,True,0,No,Customer feedback 8: Could be better,2023-06-21 09:44:26.081077,959.6,"{'interests': ['Technology', 'Sports'], 'source': np.str_('Web'), 'priority': np.str_('High')}"
10,19,104.31,7.4,Red,Platinum,False,0,No,Customer feedback 9: Could be better,2023-10-17 09:44:26.081080,792.7,"{'interests': ['Fashion', 'Sports'], 'source': np.str_('Mobile'), 'priority': np.str_('Low')}"
11,47,142.92,1.1,Green,Silver,False,0,No,Customer feedback 10: Excellent products,2023-08-18 09:44:26.081082,603.8,"{'interests': ['Technology', 'Food'], 'source': np.str_('Store'), 'priority': np.str_('Medium')}"
